ID,country,date
EPI_ISL_9712249|DJI/NAMRU3_A589/2021,Djibouti,2021-12-29
EPI_ISL_3845307|DJI/NAMRU3_A04/2020,Djibouti,2020-11-16
EPI_ISL_9712324|DJI/NAMRU3_H930/2021,Djibouti,2021-12-23
EPI_ISL_9712310|DJI/NAMRU3_H827/2021,Djibouti,2021-12-25
EPI_ISL_11533176|DJI/NAMRU3_B674/2022,Djibouti,2022-01-20
EPI_ISL_9712244|DJI/NAMRU3_A575/2021,Djibouti,2021-12-30
EPI_ISL_10038170|DJI/NAMRU3_A754_2021/2021,Djibouti,2021-12-31
EPI_ISL_10038199|DJI/NAMRU3_A937_2022/2022,Djibouti,2022-01-03
EPI_ISL_11533171|DJI/NAMRU3_B546/2022,Djibouti,2022-01-18
EPI_ISL_11533177|DJI/NAMRU3_B675/2022,Djibouti,2022-01-19
EPI_ISL_9712236|DJI/NAMRU3_A537/2021,Djibouti,2021-12-31
EPI_ISL_9712212|DJI/NAMRU3_A407/2021,Djibouti,2021-12-31
EPI_ISL_10038210|DJI/NAMRU3_A941_2022/2022,Djibouti,2022-01-03
EPI_ISL_11533209|DJI/NAMRU3_C112/2022,Djibouti,2022-01-26
EPI_ISL_11533156|DJI/NAMRU3_B309/2022,Djibouti,2022-01-07
EPI_ISL_9712185|DJI/NAMRU3_A136/2022,Djibouti,2022-01-03
EPI_ISL_11533150|DJI/NAMRU3_B236/2022,Djibouti,2022-01-07
EPI_ISL_9712201|DJI/NAMRU3_A177/2022,Djibouti,2022-01-03
EPI_ISL_11533158|DJI/NAMRU3_B312/2022,Djibouti,2022-01-08
EPI_ISL_9712314|DJI/NAMRU3_H884/2021,Djibouti,2021-12-25
EPI_ISL_6693740|DJI/NAMRU3_C121/2021,Djibouti,2021-08-06
EPI_ISL_9712238|DJI/NAMRU3_A542/2021,Djibouti,2021-12-30
EPI_ISL_9712227|DJI/NAMRU3_A469/2021,Djibouti,2021-12-29
EPI_ISL_1936300|EGY/PHARCO-ARMY40/2021,Egypt,2021-03-13
EPI_ISL_6011780|EGY/CCHE57357_Wave_4_109/2021,Egypt,2021-10-19
EPI_ISL_11259852|KEN/SS5230/2021,Kenya,2021-12-26
EPI_ISL_12560982|KEN/SS7399/2021,Kenya,2021-12-31
EPI_ISL_11260203|KEN/SS6384/2022,Kenya,2022-01-05
EPI_ISL_806660|KEN/C17244/2020,Kenya,2020-06-11
EPI_ISL_11116826|KEN/C113887/2022,Kenya,2022-01-11
EPI_ISL_1610516|KEN/C88529/2021,Kenya,2021-03-23
EPI_ISL_4739500|KEN/C108336/2021,Kenya,2021-08-30
EPI_ISL_11260172|KEN/SS6283/2022,Kenya,2022-01-08
EPI_ISL_11260119|KEN/SS6224/2021,Kenya,2021-12-30
EPI_ISL_12905530|KEN/SS8282/2022,Kenya,2022-01-10
EPI_ISL_12561098|KEN/SS7935/2022,Kenya,2022-01-04
EPI_ISL_11561300|KEN/SS6838/2022,Kenya,2022-01-14
EPI_ISL_11260002|KEN/SS5999/2021,Kenya,2021-12-24
EPI_ISL_11116693|KEN/C172957/2022,Kenya,2022-01-04
EPI_ISL_12561074|KEN/SS7992/2022,Kenya,2022-01-05
EPI_ISL_11561298|KEN/SS6829/2022,Kenya,2022-01-14
EPI_ISL_12905614|KEN/SS8390/2022,Kenya,2022-05-12
EPI_ISL_11116751|KEN/C113398/2021,Kenya,2021-12-22
EPI_ISL_8886263|GAB/14698-19B_Gabon/2021,Gabon,2021-03-05
EPI_ISL_4026525|NGA/BCVL-25700/2021,Nigeria,2021-04-19
EPI_ISL_12561034|KEN/SS7499/2022,Kenya,2022-03-20
EPI_ISL_11260035|KEN/SS6122/2022,Kenya,2022-01-14
EPI_ISL_12561023|KEN/SS7484/2022,Kenya,2022-01-05
EPI_ISL_6262711|KEN/C67375/2020,Kenya,2020-10-28
EPI_ISL_11220552|KEN/SS6720/2022,Kenya,2022-01-08
EPI_ISL_12561024|KEN/SS7485/2022,Kenya,2022-01-28
EPI_ISL_11116842|KEN/C113980/2022,Kenya,2022-01-14
EPI_ISL_12561056|KEN/SS7955/2022,Kenya,2022-01-03
EPI_ISL_12563863|KEN/SS7394/2022,Kenya,2022-01-03
EPI_ISL_11259796|KEN/SS5137/2021,Kenya,2021-12-15
EPI_ISL_11259777|KEN/SS5104/2021,Kenya,2021-12-14
EPI_ISL_11561326|KEN/SS6880/2022,Kenya,2022-01-20
EPI_ISL_4026560|NGA/BCVL-26930/2021,Nigeria,2021-08-02
EPI_ISL_12561956|KEN/SS7798/2021,Kenya,2021-12-21
EPI_ISL_12560990|KEN/SS7440/2022,Kenya,2022-01-03
EPI_ISL_11561408|KEN/SS7046/2021,Kenya,2021-12-16
EPI_ISL_8886145|GAB/7562-KS1_Gabon/2020,Gabon,2020-07-18
EPI_ISL_12561962|KEN/SS7807/2021,Kenya,2021-12-20
EPI_ISL_11561277|KEN/SS6798/2022,Kenya,2022-01-12
EPI_ISL_11220566|KEN/SS6734/2022,Kenya,2022-01-06
EPI_ISL_11260041|KEN/SS6141/2022,Kenya,2022-01-12
EPI_ISL_11220524|KEN/SS6692/2022,Kenya,2022-01-26
EPI_ISL_11116791|KEN/C113670/2022,Kenya,2022-01-06
EPI_ISL_11116758|KEN/C113450/2021,Kenya,2021-12-21
EPI_ISL_11220483|KEN/SS6631/2022,Kenya,2022-01-05
EPI_ISL_11116716|KEN/C113293/2021,Kenya,2021-12-21
EPI_ISL_12561051|KEN/SS7943/2022,Kenya,2022-01-05
EPI_ISL_11259973|KEN/SS5392/2021,Kenya,2021-12-23
EPI_ISL_8886326|GAB/5382_Gabon/2021,Gabon,2021-05-12
EPI_ISL_12561965|KEN/SS7812/2021,Kenya,2021-12-20
EPI_ISL_11220592|KEN/SS6762/2022,Kenya,2022-03-08
EPI_ISL_11260077|KEN/SS6182/2021,Kenya,2021-12-19
EPI_ISL_11259775|KEN/SS5088/2021,Kenya,2021-12-09
EPI_ISL_11259906|KEN/SS5293/2021,Kenya,2021-12-27
EPI_ISL_11561362|KEN/SS6927/2022,Kenya,2022-01-05
EPI_ISL_11259638|KEN/SS4933/2021,Kenya,2021-12-23
EPI_ISL_11259644|KEN/SS4939/2021,Kenya,2021-12-20
EPI_ISL_11259373|KEN/SS4338/2021,Kenya,2021-12-15
EPI_ISL_12561113|KEN/SS7999/2022,Kenya,2022-01-03
EPI_ISL_12561011|KEN/SS7471/2022,Kenya,2022-01-03
EPI_ISL_11561304|KEN/SS6845/2022,Kenya,2022-01-14
EPI_ISL_11259639|KEN/SS4934/2021,Kenya,2021-12-24
EPI_ISL_944706|GHA/WACCBIP_nCoV_GS155/2021,Ghana,2021-01-13
